KNN,SVM,XGBoost,RandomForest,DrugBank ID,SMILES
0,0,0,0,DB07445,O=C(NN=Cc1cc(Br)c(O)c(Br)c1O)c1cccnc1
0,0,0,0,DB07628,Cc1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C
0,0,0,0,DB07733,Cn1nc(C(F)(F)F)c2cc(C(=O)NCCS)sc21
0,0,0,0,DB08043,O=C(Nc1ccc(Oc2ccncc2)cc1)Nc1cccc(C(F)(F)F)c1
0,0,0,0,DB08262,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
0,0,0,0,DB08449,O=C(O)Cn1cc(Cc2nc3c(F)c(F)cc(F)c3s2)c2cccnc21
0,0,0,0,DB08632,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1
0,0,0,0,DB08683,O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1
0,0,0,0,DB08772,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12
0,0,0,0,DB08814,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O
0,0,0,0,DB08896,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1
0,0,0,0,DB08949,O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1
0,0,0,0,DB09531,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
0,0,0,0,DB11369,O=C(CNC(=O)c1ccc(C2=NOC(c3cc(Cl)cc(C(F)(F)F)c3)(C(F)(F)F)C2)c2ccccc12)NCC(F)(F)F
0,0,0,0,DB11399,CN(Cc1ccccc1)C(=O)C(NC(=O)c1cc2cc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)ccc2n1C)c1ccccc1
0,0,0,0,DB11518,Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F
0,0,0,0,DB11542,N=C(NN=Cc1ccc(Cl)cc1)NN=Cc1ccc(Cl)cc1
0,0,0,0,DB11625,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
0,0,0,0,DB11900,Cc1c(Cc2ccc3ccccc3n2)c2cc(F)ccc2n1CC(=O)O
0,0,0,0,DB11942,O=C(C=Cn1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1
0,0,0,0,DB11946,CC(=O)Nc1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O
0,0,0,0,DB11949,Cc1cc(F)ccc1C1CNCCN1C(=O)N(C)C(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
0,0,0,0,DB11985,FC(F)(F)c1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
0,0,0,0,DB12207,O=C(C=Cn1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1ccccn1
0,0,0,0,DB12271,CC(C)CC(NC(Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O
0,0,0,0,DB12301,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O
0,0,0,0,DB12323,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cnccn5)n4)c3)cc(C(F)(F)F)c2)cn1
0,0,0,0,DB12425,NC(Cc1cc([131I])c(Oc2ccc(O)c([131I])c2)c([131I])c1)C(=O)O
0,0,0,0,DB12477,FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
0,0,0,0,DB12557,CCCCCS(=O)(=O)NC(=O)c1ccc2nc(C)n(Cc3ccc(Cl)cc3Cl)c2c1
0,0,0,0,DB12580,O=C(c1ccccc1Cl)c1cccnc1-c1nnn(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1ccncc1
0,0,0,0,DB12821,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
0,0,0,0,DB12892,Cn1cc(NC(=O)c2cc(NC(=O)c3ccc(C=Cc4cnc5ccccc5c4)cc3)cn2C)cc1C(=O)NCCN1CCOCC1
0,0,0,0,DB13410,N=C(NO)NN=Cc1c(Cl)cccc1Cl
0,0,0,0,DB13573,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O
0,0,0,0,DB13592,CCN(CC)CCn1cnc2c1c(=O)n(C)c(=O)n2C
0,0,0,0,DB13627,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
0,0,0,0,DB13636,CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O
0,0,0,0,DB13674,O=C(O)Cn1c2ccccc2c(=O)c2ccccc21
0,0,0,0,DB13835,CCN(CC)CCn1c(=O)c(Cc2ccc(OC)cc2)nc2ccccc21
0,0,0,0,DB14801,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1
0,0,0,0,DB14890,CCOC(=O)N1c2ccc(C(F)(F)F)cc2C(N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ncc(OCCCC(=O)O)cn2)CC1CC
0,0,0,0,DB15006,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F
0,0,0,0,DB15065,CCCC(Oc1cc(C)c(-n2cc(C(F)(F)F)cn2)c(C)c1)c1ccc(C(=O)NCCC(=O)O)cc1
0,0,0,0,DB15085,Cn1c(=O)oc2cc(-n3cc(C(=O)O)c(=O)n(C4CCc5c4cccc5C(F)(F)F)c3=O)ccc21
0,0,0,0,DB15121,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2nccnc12
0,0,0,0,DB15414,[2H]C([2H])([2H])NC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
0,0,0,0,DB15426,O=C(O)c1ccc(CCCc2c(CCNS(=O)(=O)Cc3ccccc3C(F)(F)F)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1
0,0,0,0,DB15437,COc1cc(F)c(C(C)C)cc1C1=C(CN2C(=O)OC(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2C)CC(C)(C)CC1
0,0,0,0,DB15672,CS(=O)(=O)CCCn1c(Cn2c(=O)n(CC(F)(F)F)c3ccncc32)cc2cc(Cl)ccc21
0,0,0,0,DB15997,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
0,0,0,0,DB16081,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C(F)(F)F)n(C)n3)c2)ncn1
0,0,0,0,DB16119,COC(=O)C(Cc1ccc(-n2c(=O)c3cc(N(C)C)ccc3n(C)c2=O)cc1)NC(=O)c1c(Cl)cccc1Cl
0,0,0,0,DB16153,NC(=O)C(=Cn1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)c1cncnc1
0,0,0,0,DB16292,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F
0,0,0,0,DB16707,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2cscc12
0,0,0,0,DB16734,O=C(O)CCn1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1
0,0,0,0,DB16846,Cc1cnc(CNC(=O)c2c(=O)c3ccc(N4CCCN(C)CC4)nc3n3c2sc2ccccc23)cn1
0,0,0,0,DB17029,Cn1c2ccccc2c2c3c(c4c5ccccc5n(CCC#N)c4c21)CNC3=O
0,0,0,0,DB17930,COc1nc2c(c(=O)n1C)n(C)c(=O)n2C
0,0,0,0,DB18080,Cc1nc2ccc(F)cc2n1-c1nc(N)c(F)c(Nc2ccc(C(F)(F)F)cc2)n1
0,0,0,0,DB18118,Cn1c2ccc(F)cc2c2ccncc21
