KNN,SVM,XGBoost,RandomForest,DrugBank ID,SMILES,Molecular_Weight,LogP,Hydrogen_Bond_Donors,Hydrogen_Bond_Acceptors,Passes_Lipinski_Rule
0,0,0,0,DB12207,O=C(C=Cn1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1ccccn1,442.323,3.9917000000000016,2,6,True
0,0,0,0,DB12271,CC(C)CC(NC(Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O,428.31600000000014,3.322800000000001,3,5,True
0,0,0,0,DB12301,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,425.7540000000001,2.654580000000001,1,7,True
0,0,0,0,DB12557,CCCCCS(=O)(=O)NC(=O)c1ccc2nc(C)n(Cc3ccc(Cl)cc3Cl)c2c1,468.40600000000023,4.949620000000005,1,5,True
0,0,0,0,DB12821,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,238.02399999999997,3.3815999999999997,0,0,True
0,0,0,0,DB13410,N=C(NO)NN=Cc1c(Cl)cccc1Cl,247.085,1.83047,4,3,True
0,0,0,0,DB13573,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,238.20299999999997,-1.4816999999999998,1,7,True
0,0,0,0,DB13592,CCN(CC)CCn1cnc2c1c(=O)n(C)c(=O)n2C,279.344,-0.2244999999999988,0,7,True
0,0,0,0,DB13627,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,261.23299999999995,1.4483000000000001,1,5,True
0,0,0,0,DB13636,CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,493.5640000000003,1.8724999999999996,1,9,True
0,0,0,0,DB13674,O=C(O)Cn1c2ccccc2c(=O)c2ccccc21,253.25699999999998,2.2393,1,3,True
0,0,0,0,DB13835,CCN(CC)CCn1c(=O)c(Cc2ccc(OC)cc2)nc2ccccc21,365.47700000000003,3.3377000000000026,0,5,True
0,0,0,0,DB14801,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,434.92600000000016,4.548700000000003,1,6,True
0,0,0,0,DB15085,Cn1c(=O)oc2cc(-n3cc(C(=O)O)c(=O)n(C4CCc5c4cccc5C(F)(F)F)c3=O)ccc21,487.3900000000002,2.6967000000000017,1,8,True
0,0,0,0,DB15121,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2nccnc12,421.3600000000001,2.4904,1,8,True
0,0,0,0,DB16081,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C(F)(F)F)n(C)n3)c2)ncn1,445.40500000000003,3.775500000000001,2,8,True
0,0,0,0,DB16153,NC(=O)C(=Cn1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)c1cncnc1,428.296,3.2561000000000018,1,6,True
0,0,0,0,DB16707,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2cscc12,425.4130000000001,3.7619000000000016,1,7,True
0,0,0,0,DB16734,O=C(O)CCn1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1,352.234,4.062400000000002,1,3,True
0,0,0,0,DB17029,Cn1c2ccccc2c2c3c(c4c5ccccc5n(CCC#N)c4c21)CNC3=O,378.4350000000002,4.596480000000004,1,4,True
0,0,0,0,DB17930,COc1nc2c(c(=O)n1C)n(C)c(=O)n2C,224.22,-1.0206999999999997,0,7,True
0,0,0,0,DB18080,Cc1nc2ccc(F)cc2n1-c1nc(N)c(F)c(Nc2ccc(C(F)(F)F)cc2)n1,420.34499999999997,4.746720000000002,2,6,True
0,0,0,0,DB18118,Cn1c2ccc(F)cc2c2ccncc21,200.216,2.8656000000000006,0,2,True
